KEY,ES,EN
auth_user_rule,Nombre de usuario: Contiene 3-20 caracteres,Username: Contains 3-20 characters
auth_password_rule,Contraseña: Entre 8 y 30 caracteres<br>Al menos 1 minúscula; 1 mayúscula; 1 número; 1 símbolo,Password: Contains 8-30 characters<br>At least 1 lower case; 1 upper case; 1 number; 1 symbol
auth_error_credentials,Usuario o contraseña no válidos,Invalid username or password
auth_error_already_registered,Nombre de usuario ya registrado,Username already registered
auth_error_unknown,Se produjo un error,An error has ocurred
,,
level_results,Resultados,Outcome
level_win,Victoria,Victory
level_lose,Derrota,Defeat
level_score,Puntuación:,Score:
,,
level1,Maratón,Marathon
level1_goal,Derrota a todas las tropas enemigas,Defeat all enemies troops
level1_desc,Los persas llegaron con un ejército enorme dispuestos a conquistar Grecia; pero los atenienses aun siendo mucho menos numerosos les dieron una sorpresa: aprovecharon el terreno y su estrategia para vencerlos. Aquella victoria no solo frenó la invasión; también convirtió a Atenas en una potencia militar. Y de paso nació una leyenda: un soldado corrió desde Maratón hasta Atenas para anunciar la noticia… y de ahí viene la famosa carrera de maratón que conocemos hoy. ,The Persians arrived with a massive army determined to conquer Greece. However the Athenians despite being far fewer in number; gave them a surprise. They took advantage of the terrain and their strategy to defeat them. That victory not only halted the invasion; it also turned Athens into a military power. And along the way a legend was born: a soldier ran from Marathon to Athens to announce the news… and from that comes the famous marathon race we know today. 
level2,Termópilas,Thermopylae
level2_goal,Derrota a todas las tropas enemigas,Defeat all enemies troops
level2_desc,El rey persa Jerjes llegó con un ejército enorme para invadir Grecia. Pero en el estrecho paso de las Termópilas se encontró con Leónidas y sus 300 espartanos acompañados por otros aliados griegos. Aunque eran muy inferiores en número resistieron durante tres días gracias al terreno y su disciplina. Hasta que fueron rodeados por una traición y pese a que la batalla terminó en derrota su sacrificio se convirtió en símbolo de valentía. Dando tiempo a Grecia para preparar nuevas defensas que acabarían cambiando el rumbo de la guerra.,The Persian king Xerxes arrived with a huge army to invade Greece. But in the narrow pass of Thermopylae he encountered Leonidas and his 300 Spartans accompanied by other Greek allies. Although vastly outnumbered they held their ground for three days thanks to the terrain and their discipline. Until they were surrounded through an act of betrayal. The battle ended in defeat but their sacrifice became a symbol of bravery and gave Greece time to prepare new defenses that would ultimately change the course of the war. 
level3,Salamina,Salamis
level3_goal,Resiste N Rondas,Resiste N Rounds
level3_desc,Tras la caída de las Termópilas y el avance imparable de los persas. La flota griega liderada por Temístocles atrajo a los persas de Jerjes al estrecho de Salamina. Donde su enorme número se convirtió en desventaja; la milicia griega embistió con fuerza y logró hacerse con la victoria. Siendo decisiva; pues marcó el inicio del fin de la invasión persa.,After the fall of Thermopylae and the unstoppable advance of the Persians. The Greek fleet led by Themistocles lured Xerxes forces into the Strait of Salamis. There their overwhelming numbers turned into a disadvantage; the Greek navy rammed with force and managed to secure victory. It was a decisive triumph as it marked the beginning of the end of the Persian invasion. 
level4,Platea,Plataea
level4_goal,Derrota a Salvatore Maradonio,Defeat Salvatore Maradonio
level4_desc,Tras la victoria naval en Salamina por parte de los griegos. Los persas intentaron mantener su dominio en Grecia bajo el mando del comandante Maradonio. Pero fueron enfrentados en Platea por un ejército unido de espartanos y atenienses. Allí se enfrentaron en un combate terrestre decisivo donde la disciplina y la estrategia griega lograron imponerse sobre las fuerzas persas. Esta victoria selló el final de la invasión y aseguró la libertad de Grecia y sus mitos. ,After the naval victory at Salamis by the Greeks. The Persians attempted to maintain their hold on Greece under the command of Mardonius. However they were confronted at Plataea by a united army of Spartans and Athenians. There they fought a decisive land battle in which Greek discipline and strategy prevailed over the Persian forces. This victory sealed the end of the invasion and ensured the freedom of Greece and its myths. 
level5,El puerto de Alejandría,Alexandria’s Harbor
level5_goal,Derrota a todas las tropas enemigas,Defeat all enemies troops
level5_desc,Tanto Roma como Egipto atravesaban sus propias guerras civiles. En ese contexto convulso Julio César arribó a Egipto en busca de estabilidad y alianzas. desembarco en el puerto de Alejandría no fue un simple movimiento militar sino el inicio de un capítulo decisivo en la historia del Mediterráneo. La ciudad que era considerada el orgullo del mundo helenístico; estaba desgarrada por la disputa dinástica entre Cleopatra y su hermano Ptolomeo XIII. En medio de esa tensión las murallas y defensas del puerto se alzaron como el primer obstáculo frente a las legiones romanas que avanzaban con disciplina férrea y superioridad táctica.,Both Rome and Egypt were going through their own civil wars. In that turbulent context Julius Caesar arrived in Egypt in search of stability and alliances. His landing at the port of Alexandria was not merely a military maneuver but the beginning of a decisive chapter in the history of the Mediterranean. The city pride of the Hellenistic world was torn apart by the dynastic conflict between Cleopatra and her brother Ptolemy XIII. Amid that tension the walls and defenses of the port rose as the first obstacle before the Roman legions which advanced with iron discipline and tactical superiority.
level6,Las Arenas del Desierto,The Sands of the Desert
level6_goal,Derrota a todas las tropas enemigas,Defeat all enemies troops
level6_desc,En las arenas de Egipto más allá de las murallas de Alejandría. Se guardaban relatos antiguos que hablaban del poder divino. Los sacerdotes relataban que el dios Ptah; señor del fuego creador. Había entregado a los faraones símbolos sagrados como el cetro Sejem y el cetro Uas; emblemas de fuerza y dominio. Estos bastones no eran simples ornamentos: representaban la capacidad de los reyes para gobernar y según las leyendas contenían la energía del sol de Ra. Capaz de dar vida o de arrasar con su fulgor.,In the sands of Egypt beyond the walls of Alexandria. Ancient tales spoke of divine power. The priests recounted that the god Ptah; lord of the creative fire. Had bestowed upon the pharaohs sacred symbols such as the Sejem scepter and the Uas scepter. Emblems of strength and dominion. These staffs were not mere ornaments: they represented the kings ability to rule and according to legend contained the energy of Ra’s sun. Capable of giving life or devastating with its brilliance.
level7,Alejandría en llamas,Alexandria in flames
level7_goal,Resiste N Rondas,Resiste N Rounds
level7_desc,La presencia de Julio César en Egipto intensificó la guerra civil que enfrentaba a Cleopatra con su hermano Ptolomeo XIII. Las calles de Alejandría antaño símbolo de cultura y esplendor. Se vieron envueltas en el caos de los combates. En medio de la violencia las llamas alcanzaron los depósitos de manuscritos amenazando con borrar siglos de conocimiento. La ciudad ardía no solo por el fuego de la guerra sino por el riesgo de perder para siempre la memoria escrita en papiro que había convertido a Alejandría en la capital intelectual del mundo antiguo.,Julius Caesar’s presence in Egypt intensified the civil war between Cleopatra and her brother Ptolemy XIII. The streets of Alexandria; once a symbol of culture and splendor. Were engulfed in the chaos of battle. Amid the violence flames reached the manuscript archives threatening to erase centuries of knowledge. The city burned not only from the fire of war but also from the danger of losing forever the written memory on papyrus that had made Alexandria the intellectual capital of the ancient world.
level8,El Faro de Alejandría,Alexandria’s Lighthouse
level8_goal,Derrota a Robespierre,Defeat Robespierre
level8_desc,"El Faro de Alejandría se alzaba como una de las maravillas del mundo antiguo. Con su luz guiando a los navegantes del Mediterráneo; era símbolo de poder y orgullo para la ciudad. Durante la guerra civil egipcia; Julio César comprendió su valor estratégico: quien controlara el faro dominaría el puerto y aseguraría el abastecimiento de las tropas.
En el 47 a.C. las legiones romanas se enfrentaron a las fuerzas de Ptolomeo XIII en torno a la isla de Faro. La torre que hasta entonces había sido guía de marineros y emblema de esplendor helenístico; se convirtió en fortaleza militar y testigo de los combates. Para César mantener el control del faro significaba sostener su posición en Alejandría; para Cleopatra era preservar el símbolo de su reino frente a la sombra de Roma.","The Lighthouse of Alexandria stood as one of the wonders of the ancient world. With its light guiding sailors across the Mediterranean; it was a symbol of power and pride for the city. During the Egyptian civil war; Julius Caesar understood its strategic value: whoever controlled the lighthouse would dominate the harbor and secure the supply lines for their troops. 
In 47 B.C. the Roman legions faced the forces of Ptolemy XIII around Pharos Island. The tower which had until then served as a guide for sailors and a symbol of Hellenistic splendor; became a military fortress and a witness to the battles. For Caesar holding the lighthouse meant maintaining his position in Alexandria; for Cleopatra it meant preserving the symbol of her kingdom against the looming shadow of Rome."
level9,Gekokujo,Gekokujo
level9_goal,Derrota a Jeanne,Defeat Jeanne
level9_desc,"Durante el periodo Sengoku Japón se dividió en múltiples dominios. Cada uno gobernado por un daimyo que buscaba expandir su territorio en medio del caos. En ese contexto emergió Tokugawa Ieyasu; un estratega paciente y calculador cuyo objetivo era poner fin a la fragmentación y establecer un orden duradero. Uno de los enfrentamientos más reconocidos de esta transición se libró en el Castillo de Osaka; último bastión del clan Toyotomi. Allí en el año 1615 d.C. las fuerzas de Tokugawa sitiaron la fortaleza. Conscientes de que su caída significaba el fin del Sengoku y el inicio de una nueva era. Para los Toyotomi resistir era defender su linaje. Para Tokugawa conquistar Osaka era sellar la paz y dar comienzo al shogunato que gobernaría Japón durante más de dos siglos.
","During the Sengoku period Japan was divided into multiple domains each ruled by a daimyo who sought to expand their territory amid the chaos. 
In this context emerged Tokugawa Ieyasu; a patient and calculating strategist whose goal was to end the fragmentation and establish lasting order. 
One of the most renowned confrontations of this transition took place at Osaka Castle; the last stronghold of the Toyotomi clan. There in 1615 A.D. Tokugawa forces besieged the fortress fully aware that its fall would mark the end of the Sengoku period and the beginning of a new era. For the Toyotomi resistance meant defending their lineage. For Tokugawa"
